PROVEEDOR O CONTRATISTA, 	DEPENDENCIA, 	NUMERO DE EXPEDIENTE, 	HECHOS DE LA IRREGULARIDAD, 	OBJETO SOCIAL, 	SENTIDO DE RESOLUCION, 	FECHA DE NOTIFICACION, 	FECHA DE RESOLUCION, 	PLAZO, 	MONTO, 	NOMBRE DEL RESPONSABLE DE LA INFORMACION, 	FECHA DE ACTUALIZACION 
AGENCIA DE VIGILANCIA Y PROTECCIÓN PATRIMONIAL  S.A. DE C.V.,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0053/2011,	LA EMPRESA SE CONDUJO CON DOLO AL PRESENTAR DOCUMENTACIÓN QUE NO CORRESPONDÍA A LA REALIDAD.,	LA PRESTACIÓN DE SERVICIOS DE SEGURIDAD PRIVADA  RESGUARDO Y SUPERVISIÓN  CAPACITACIÓN Y ENTRENAMIENTO DE ELEMENTOS PARA LA PRESTACIÓN DE LOS SERVICIOS DE SEGURIDAD PRIVADA,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	19/09/2012,	05/09/2012,	2 AÑOS,	712504.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
AGENCIA DIESEL DE MEXICO  S.A. DE C.V.,	PEMEX EXPLORACIÓN Y PRODUCCION,	0414/2005,	HABER PRESENTADO DOCUMENTACION PRESUMIBLEMENTE FALSA,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	21/05/2010,	19/05/2010,	2 AÑOS 6 MESES,	702000.00,	VÍCTOR OCTAVIO GÓMEZ CERECEDO,	14/01/2021 08:01
AGENCIA INTERNACIONAL BELRO  S.A. DE C.V.,	INSTITUTO NACIONAL DE ESTADISTICA  GEOGRAFIA E INFORMATICA,	0067/2006,	MANIFESTAR FALSAMENTE ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES,	SERVICIOS DE PROTECCIÓN Y SEGURIDAD INTEGRAL,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	14/12/2006,	07/12/2006,	3 MESES,	75438.50,	GERARDO SUAREZ ISLAS,	14/01/2021 08:01
AGENTES DE PROTECCIÓN  S.A. DE C.V.,	SECRETARIA DE RELACIONES EXTERIORES,	0002/2009,	PARA DAR CUMPLIMIENTO A LO ESTABLECIDO EN LA CLÁUSULA NOVENA DEL CONTRATO SRE-DGD-AD-36/09  EXHIBIÓ PÓLIZA DE FIANZA FOLIO 657884  NÚMERO 5859-4894-785011  POR LA CANTIDAD DE $16 000.00 (DIECISÉIS MIL PESOS) LA CUAL RESULTÓ APÓCRIFA,	PRESTACIÓN DE SERVICIOS DE SEGURIDAD,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	10/06/2009,	05/06/2009,	3 MESES,	78383.50,	BENITO PAREDES GUTIERREZ,	14/01/2021 08:01
AGNEVAL MEDICO DENTAL  S.A. DE C.V.,	SECRETARIA DE SALUD,	0006/2019,	LA EMPRESA AGNEVAL MEDICO DENTAL  S.A. DE C.V.  EN EL FALLO DE FECHA 12/12/2014  RESULTO ADJUDICADA DEL PEDIDO NO. 2015/161/1  NOTIFICANDOSELE EL FALLO DE MERITO EN ESA MISMA FECHA  A  TRAVES DE COMPRANET. ASIMISMO  EN DICHO FALLO SE ESTABLECIO QUE LA FECHA DE FORMALIZACION DEL PEDIDO ERA PARA EL 24/DIC/14  SIN EMBARGO  LOS SERVICIOS DE ATENCION PSIQUIATRICA DE LA SECRETARIA DE SALUD  MODIFICO LA FECHA  SEÑALANDOLA PARA EL 31/DIC/14  PLAZO EN EL QUE TAMPOCO SE PRESENTO LA EMPRESA A FORMALIZAR DICHO CONTRATO.,	SE DESCONOCE,	SANCIONATORIA CON MULTA,	30/12/2019,	30/12/2019,	,	20859.00,	,	14/01/2021 08:01
AGR SOLUCIONES MÉDICAS  S.A. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0040/2014,	OMITIÓ FORMALIZAR EL CONTRATO QUE LE FUE ADJUDICADO  DERIVADO DE LA LICITACIÓN PÚBLICA NACIONAL NÚMERO LA-922041991-N25-2014  CONCURSO 511040001-016-14.,	DISTRIBUCIÓN DE EQUIPO MEDICO.,	SANCIONATORIA CON MULTA,	15/09/2015,	11/09/2015,	,	28160.86,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
AGRUPACIÓN ERLAR  S.A. DE C.V.,	COMISION NACIONAL BANCARIA Y DE VALORES,	0013/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	REALIZACIÓN DE TRABAJOS DE CABLEADO ESTRUCTURADO Y DE CONSTRUCCIÓN DE REDES DE INFORMÁTICA  TELEFÓNICAS Y DE TELECOMUNICACIONES.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	17/01/2007,	08/01/2007,	3 MESES,	68138.00,	SANDRA ANEL VILLANUEVA LEAL,	14/01/2021 08:01
AGUIZUL S.A. DE C.V.,	INSTITUTO MEXICANO DEL PETROLEO,	0063/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	23/04/2007,	11/04/2007,	3 MESES,	72540.00,	MYRIAM MARIA GUADALUPE MACIEL JASSO,	14/01/2021 08:01
AGUIZUL S.A. DE C.V.,	INSTITUTO MEXICANO DEL PETROLEO,	0093/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	SERVICIO DE COMERCIALIZACIÓN,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	23/04/2007,	11/04/2007,	3 MESES,	72540.00,	MYRIAM MARIA GUADALUPE MACIEL JASSO,	14/01/2021 08:01
AGUSTÍN CHÁVEZ BARRERA,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0001/2012,	78 FRACCIÓN IV  DE LA LEY DE OBRAS PÚBLICAS Y SERVICIOS RELACIONADOS CON LAS MISMAS.  <br>PROPORCIONÓ INFORMACIÓN FALSA AL CELEBRAR  CON LA SECRETARÍA DE LA FUNCIÓN PÚBLICA  EL CONTRATO SROP-281-2011  PARA OTORGAR SERVICIOS DE APOYO EN AUDITORÍAS  DADO QUE MANIFESTÓ BAJO PROTESTA DE DECIR VERDAD  NO ENCONTRARSE EN ALGUNO DE LOS SUPUESTOS DEL ARTÍCULO 51 DE LA LEY  NO OBSTANTE ESTAR INHABILITADO POR ESTA SECRETARÍA.,	SERVICIOS DE AUDITORIA  PRÁCTICAS Y SEGUIMIENTOS DE RESULTADOS.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	25/06/2012,	05/06/2012,	3 MESES,	86190.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
AGUSTÍN SÁNCHEZ FRÍAS,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0037/2010,	EL CONTRATISTA  ACTUÓ CON DOLO AL PRESENTAR PÓLIZAS DE FIANZAS FALSAS EN LOS CONTRATOS NO.628010/2007  O928013/2009  O9280030/2009.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	27/04/2012,	18/04/2012,	2 AÑOS 7 MESES,	834405.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
AIASA  S.A. DE C.V.,	PEMEX PETROQUIMICA,	0018/2010,	CON FECHA DEL 3 DE DICIEMBRE DE 2009 LA EMPRESA PRESUNTAMENTE PRESENTÓ INFORMACIÓN FALSA AL MANIFESTAR BAJO PROTESTA DE DECIR VERDAD QUE NO SE ENCONTRABA EN LOS SUPUESTOS DEL ARTÍCULO 50 DE DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO.,	ASESORÍA  CONSULTORÍA  AUDITORÍA  SUPERVISIÓN  PROYECTOS Y CONSTRUCCIONES.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	18/05/2010,	17/05/2010,	3 AÑOS 9 MESES,	1274100.00,	,	14/01/2021 08:01
AIPR Y COMPAÑIA  S.A. DE C.V.,	CONSEJO NACIONAL DE CIENCIA Y TECNOLOGIA,	0003/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	PROYECTO DE INSTALACIONES  ELECTRICA EN ALTA Y BAJA TENSION  COMERCIAL E INDUSTRIAL Y CENTROS DE COMPUTO  ASI COMO LA EVALUACIÓN TECNICA DE LAS INSTALACIONES ELECTRICAS EXISTENTES CONSIDERANDO EL LEVANTAMIENTO FISICO DE LAS MISMAS  LA ELABORACIÓN DE PLANOS QUE CONTEMPLEN LAS ADECUACIONES A LAS INSTALACIONES ELECTRICAS EXISTENTES  CONSIDERANDO EL LEVANTAMIENTO FISICO DE LAS MISMAS  LA ELABORACION DE PLANOS QUE CONTEMPLEN LAS ADECUACIONES A LAS INSTALACIONES,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	24/03/2006,	14/03/2006,	3 MESES,	70200.00,	JORGE LUIS  DE LEÓN CRUZ,	14/01/2021 08:01
AIR GAS COMPANY  S. DE R.L. DE C.V.,	INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,	0006/2012,	PRESUNTAMNETE LA EMPRESA AIRGAS COMPANY  S. DE R.L. DE C.V. PRESENTO DOCUMENTACION APOCRIFA SOBRE LOS CERTIFICADOS DE CALIDAD E PUREZA DE OXIGENO MEDICINAL Y DE LOS INFORMES DE ENSAYO DE CALIDAD Y PUREZA DEL OXIGENO.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	16/12/2013,	03/12/2013,	2 AÑOS 6 MESES,	934950.00,	KARLA MARÍA  GONZÁLEZ SALCEDO ,	14/01/2021 08:01
AIRE Y PROYECTOS DEL GOLFO S.A. DE C.V.,	AEROPUERTO  INTERNACIONAL DE LA CIUDAD DE MEXICO S.A. DE C.V.,	0007/2013,	NO FORMALIZA CONTRATO,	S/N,	SANCIONATORIA CON MULTA,	02/10/2014,	02/10/2014,	,	97140.00,	DANIEL GATICA MENDOZA,	14/01/2021 08:01
AIRGAS COMPANY  S. DE R.L. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0029/2011,	60 FRACCIÓN IV  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO.  <br>PROPORCIONÓ INFORMACIÓN FALSA EN EL PROCEDIMIENTO DE LICITACIÓN PÚBLICA NACIONAL 00641228-077-10  CONVOCADO POR EL INSTITUTO MEXICANO DEL SEGURO SOCIAL   AL EXHIBIR INFORMES DE ANÁLISIS DE OXÍGENO MEDICINAL  SUPUESTAMENTE PRACTICADOS POR LABORATORIO ACREDITADO POR LA ENTIDAD MEXICANA DE ACREDITACIÓN; MISMOS QUE EL LABORATORIO NEGÓ HABER REALIZADO.,	COMPRA  VENTA  FABRICACIÓN´Y DISTRIBUCIÓN DE SUMINISTRO DE OXÍGENO MEDICINALES.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	27/03/2012,	22/03/2012,	3 AÑOS 3 MESES,	1137708.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
AIRGAS COMPANY S. DE R.L. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0080/2013,	60  FRACCIÓN IV  DE LA LEY DE ADQUISICIONES  ARRENDAMIENTOS Y SERVICIOS DEL SECTOR PÚBLICO. <br>PROPORCIONÓ INFORMACIÓN FALSA DURANTE EL PROCEDIMIENTO DE LICITACIÓN PÚBLICA LA-019GYN085-N32-2012  CONVOCADO POR EL INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO  PARA LA ADQUISICIÓN DE SUMINISTRO DE OXÍGENO MEDICINAL CON SERVICIO A DOMICILIO DE LA DERECHOHABIENCIA  AL MANIFESTAR BAJO PROTESTA DE DECIR VERDAD NO ENCONTRARSE EN NINGUNO DE LOS SUPUESTOS DE LOS ARTÍCULOS 50 Y 60 DE LA LEY; SIENDO QUE LA MISMA SE ENCONTRABA INHABILITADA POR LA SECRETARÍA DE LA FUNCIÓN PÚBLICA.,	VENTA Y COMERCIALIZACIÓN DE MEZCLAS  GASES Y LÍQUIDOS CREOGÉNICOS  MEDICINALES  ESPECIALES E INDUSTRIALES  Y DE SERVICIOS ASOCIADOS PARA LA DISTRIBUCIÓN DE EQUIPOS DE SOLDADURA Y DE SEGURIDAD  ENTRE OTROS.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	24/06/2014,	20/06/2014,	3 AÑOS 9 MESES,	1449172.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
AKIM DE MÉXICO  S.A DE C.V.,	SECRETARIA DE LA DEFENSA NACIONAL,	0010/2017,	LA DIR. GRAL.IND. MIL.  DENUNCIÓ A LA EMPRESA AKIM DE MÉXICO  S.A. DE C.V.  LA CUAL NO ENTREGÓ 1 300 LTS. DE FOSFATO DE MANGANESO  POR LA CANTIDAD DE $ 114 351.64 (CIENTO CATORCE MIL TRESCIENTOS CINCUENTA Y UN PESOS64/100 M.N.)  CONTRATADOS EN EL PEDIDO DE ADQUISICIÓN P07-001347/2016.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	15/06/2017,	02/06/2017,	6 MESES,	113212.00,	JAIME EFRAIN TINOCO MIRANDA,	14/01/2021 08:01
ALAY COMERCIALIZADORA  S.A. DE C.V.,	SECRETARIA DE LA DEFENSA NACIONAL,	0004/2017,	DERIVADO DE LA RESCISION DEL FINIQUITO DEL PEDIDO DE ADQUISICIÓN ADJUDICADO A LA EMPRES ALAY COMERCIALIZADORA  S.A. DE C.V.  POR NO ENTREGAR LOS BIENES ESPECIFICADOS EN LA PARTIDA 1 DE CITADO PEDIDO.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	04/05/2017,	24/04/2017,	6 MESES,	113212.00,	JAIME EFRAIN TINOCO MIRANDA,	14/01/2021 08:01
ALAY COMERCIALIZADORA  S.A. DE C.V.,	SECRETARIA DE LA DEFENSA NACIONAL,	0011/2017,	LA DIR. GRAL.IND. MIL.  DENUNCIÓ A LA EMPRESA ALAY COMERCIALIZADORA  S.A. DE C.V.  LA CUAL NO ENTREGÓ EL 30 SEP. 2016  50 PILAS DE 3 VOLTS BR-2/3A 1200 MAH  40 BATER{IAS DE N{IQUEL-CADMIO TAMAÑO D DE 1.5 VOLTS  40 LAMPARAS DE HALÓGENO DE 70 WATTS D 24 VOLTS  100 PILAS DE ZINC-CARBON DE 6 VOLTS Y UN PAQUETE DE 2000 TERMINALES ELÉCTRICAS  POR LA CANTIDAD DE $ 29 591.51 (VEINTINUEVE MIL QUINIENTOS NOVENTA Y UN PESOS 51/100 M.N.)  CONTRATADOS EN EL PEDIDO DE ADQUISICIÓN P07-000909/2016.,	,	SANCIONATORIA CON MULTA,	04/05/2017,	21/04/2017,	,	21912.00,	JAIME EFRAIN TINOCO MIRANDA,	14/01/2021 08:01
ALBA MARÍA DE LA ASUNCIÓN HERRASTI FERNÁNDEZ,	SECRETARIA DE ECONOMIA,	0001/2015,	LA DIRECCIÓN GENERAL DE RECURSOS MATERIALES Y SERVICIOS GENERALES DE LA SECRETARÍA DE ECONOMÍA  EMITIÓ LA INVITACIÓN AL SEGUNDO PROCEDIMIENTO DE INVITACIÓN A CUANDO MENOS TRES PERSONAS PARA LA ADQUISICIÓN DE MATERIAL DE LIMPIEZA PARA LOS INMUEBLES DE LA SECRETARÍA DE ECONOMÍA  EN EL CUAL ALBA MARÍA DE LA ASUNCIÓN HERRASTI FERNÁNDEZ  RESULTÓ ADJUDICADA POR LO QUE HACE A LAS PARTIDAS 1  2  4 Y 5. SIN EMBARGO NO SE PRESENTÓ ANTE DICHA DIRECCIÓN GENERAL PARA FORMALIZAR EL PEDIDO NÚMERO 11-2014  NI ENTREGÓ LOS BIENES QUE LE FUERON ADJUDICADOS.,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	25/04/2016,	25/04/2016,	3 MESES,	201870.00,	HECTOR GARCÍA GÓNZALEZ,	14/01/2021 08:01
ALBA MARÍA DE LA ASUNCIÓN HERRASTI FERNÁNDEZ,	PEMEX GAS Y PETROQUIMICA BASICA,	0001/2015,	NO FORMALIZACIÓN DE DOS CONTRATOS,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	05/06/2015,	04/06/2015,	3 MESES,	100935.00,	,	14/01/2021 08:01
ALBE INTERNACIONAL  S.A. DE C.V.,	PETROLEOS MEXICANOS CORPORATIVO,	0030/2013,	NO FORMALIZACIÓN DEL CONTRATO RESPECTIVO POR CUESTIONES PRESUNTAMENTE ATRIBUIBLES A LA EMPRESA ALBER INTERNACIONAL  S.A. DE C.V.,	,	SANCIONATORIA CON MULTA,	07/05/2014,	28/04/2014,	,	97140.00,	,	14/01/2021 08:01
ALBERTO HERNÁNDEZ HERNÁNDEZ,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0078/2015,	INCUMPLIMIENTO DE LAS OBLIGACIONES CONTRACTUALES ART. 78 FRACCIÓN III DE LA LAASSP,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	29/06/2018,	29/06/2018,	1 AÑO 6 MESES,	651930.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
ALDO ANRUBIO SALAS,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0140/2014,	EL PROVEEDOR INJUSTIFICADAMENTE Y POR CAUSAS QUE SÓLO LE SON IMPUTABLES AL MISMO  NO ENTREGÓ LA PÓLIZA DE FIANZA,	,	SANCIONATORIA CON MULTA,	30/11/2016,	28/11/2016,	,	100935.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
ALEACIONES Y DESARROLLO TECNOLOGICO  S.A. DE C.V.,	PEMEX EXPLORACIÓN Y PRODUCCION,	0084/2008,	HABER PRESENTADO COPIA DE REPORTE DE PRUEBA DE DEFORMACION DE ELEMENTO GIRATORIO EXPEDIDO POR LA CASA CERTIFICADORA LLOYDS REGISTER  AL PARECER APOCRIFO Y CON ALTERACIONES,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	07/06/2011,	20/05/2011,	1 AÑO 10 MESES,	583749.00,	VÍCTOR OCTAVIO GÓMEZ CERECEDO,	14/01/2021 08:01
ALED COMPANY  S.A. DE C.V.,	PEMEX GAS Y PETROQUIMICA BASICA,	0013/2012,	PRESENTO DICTAMENES FIANCIEROS FALSOS,	COMERCIALIZACIÓN  ALMACENAMIENTO  COMPRA  VENTA  ALQUILER  DISTRIBUCIÓN  MANUFACTURA  PRODUCCIÓN  PROCESAMIENTO  IMPORTACIÓN Y EXPORTACIÓN DE TODO TIPO DE PRODUCTOS EN GENERAL Y CUALQUIER ARTÍCULO QUE SE PUEDA COMERCIALIZAR  PROVEER  COMPRAR O VENDER LICITAMENTE DENTRO DE LA REPÚBLICA MEXICANA.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	20/09/2012,	19/09/2012,	8 MESES,	225940.00,	,	14/01/2021 08:01
ALEG DISEÑO Y MANTENIEMIENTO INDUSTRIAL  S.A. DE C.V.,	INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,	0004/2008,	POR CAUSAS IMPUTABLES A LA MISMA SE ABSTUVO DE FORMALIZAR EL CONTRATO ADJUDICADO.,	ESTUDIO  PROYECTO CONSTRCCION  VENTA DE DESARROLLOS HABITACIONALES.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	02/06/2008,	28/05/2008,	1 AÑO,	78383.50,	KARLA MARÍA  GONZÁLEZ SALCEDO ,	14/01/2021 08:01
ALEJANDRA MONCADA DIAZ,	COORDINACIÓN NACIONAL DE PROSPERA PROGRAMA DE INCLUSIÓN SOCIAL,	0003/2012,	LA LICITANTE ALEJANDRA MONCADA DIAZ  PRESENTÓ SU PROPUESTA TÉCNICA Y ECONÓMICA COMO PERSONA FÍSICA Y COMO SOCIA DE DIVERSA PERSONA JURÍDICA  EN LA MISMA LICITACIÓN PÚBLICA.,	FABRICACIÓN Y COMPRA  VENTA DE MOBILIARIO DE OFICINA Y ESCOLAR.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	23/11/2016,	16/11/2016,	3 MESES,	93495.00,	JUAN GABRIEL SALINAS  VILLAGÓME,	14/01/2021 08:01
ALEJANDRO BERUMEN SALAZAR,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0216/2008,	FALTA DE FORMALIZACION DEL CONTRATO NO. S850095,	,	SANCIONATORIA CON MULTA,	24/05/2011,	09/05/2011,	,	22876.65,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
ALEJANDRO CASTRO BELLO,	SECRETARIA DE DESARROLLO SOCIAL,	0006/2014,	LA PERSONA FÍSICA ALEJANDRO CASTRO BELLO PRESUNTAMENTE INCUMPLIÓ CON SUS OBLIGACIONES CONTRACTUALES AL NO CONCLUIR LOS TRABAJOS QUE LE FUERON ENCOMENDADOS MEDIANTE EL CONTRATO DE OBRA PÚBLICA SDSDGRO-FON-VIV-002-12-05 EN EL TIEMPO CONVENIDO PARA SU TERMINACIÓN  SIN EMBARGO COBRO LAS ESTIMACIONES 1  2  3  4  5 Y ANTICIPO GENRÁNDO UN PRESUNTO DAÑO AL ERARIO FEDERAL POR LA CANTIDAD DE $824 044.94,	CONSTRUCCIÓN Y RENTA DE MAQUINARIA Y EQUIPO,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	25/06/2015,	19/06/2015,	5 MESES,	112069.34,	,	14/01/2021 08:01
ALEJANDRO GALICIA REYES,	PETROLEOS MEXICANOS CORPORATIVO,	0022/2013,	LA NO FORMALIZACIÓN DEL CONTRATO  COMO CONSECUENCIA DE NO CONTAR CON LA OPINIÓN POSITIVA DEL 32D,	,	SANCIONATORIA CON MULTA,	14/11/2013,	04/11/2013,	,	97140.00,	,	14/01/2021 08:01
ALEJANDRO IBARRA LÓPEZ,	CENTRO NACIONAL DE METROLOGIA,	0007/2015,	INCUMPLIMIENTO EN LA ENTREGA DEL MATERIAL SOLICITADO EN EL PLAZO SEÑALADO Y EN LAS CONDICIONES REQUERIDAS,	,	SANCIONATORIA CON MULTA,	20/04/2016,	09/11/2015,	,	100935.00,	IGNACIO MARTIN WATSON HERNANDEZ,	14/01/2021 08:01
ALEJANDRO SALAZAR JACOBO,	COMISION FEDERAL DE ELECTRICIDAD,	0289/2006,	PRESENTÓ INFORMACIÓN FALSA RESPECTO A ENCONTRARSE AL CORRIENTE DE SUS OBLIGACIONES FISCALES.,	MANTENIMIENTO ELECTROMECÁNICO.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	06/12/2006,	05/12/2006,	3 MESES,	73005.00,	MTRA. VERÓNICA  AGUILERA ORTA ORTA,	14/01/2021 08:01
ALEJANDRO VALERIO PAYÁN,	SECRETARÍA DE CONTROL Y EVALUACIÓN DEL MUNICIPIO DE CORREGIDORA  QUERÉTARO,	0002/2021,	EXISTENCIA DE RESPONSABILIDAD ADMINISTRATIVA GRAVE DE USO INDEBIDO DE RECURSOS PÚBLICOS  PREVISTA EN EL ARTÍCULO 71 DE LA LEY GENERAL DE RESPONSABILIDADES ADMINSTRATIVAS POR PARTE DEL PARTICULAR EL C. ALEJANDRO VALERIO PAYÁN  CUYAS FLTAS FUERON IMPUTADAS EN EL INFORME DE PRESUNTA RESPONSABILIDAD DICTADO EN LOS AUTOS DEL EXPEDIENTE DE INVESTIGACIÓN SISCOE/IA/17/2018  POR LA TITULAR D ELA UNIDAD INVESTIGADORA DE LA ENTONCES SECRETARÍA DE CONTROL INTERNO Y COMBATE A LA CORRUPCIÓN DEL MUNICIPIO DE CORREGIDORA  QUERÉTARO -AHORA SECRETARÍA DE CONTRO Y EVALUCIÓN-.,	REALIZACIÓN DE LOS TRABAJOS CONSISTENTE EN PUENTE SOBRE RIVERA DEL RIO Y PARQUE LINEAL UBICADA EN EL PUEBLITO  CORREGIDORA  QUERETARO,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	09/09/2020,	20/08/2020,	4 AÑOS,	1.00,	ANA DEL CARMEN ONTIVEROS ORDUÑA,	14/01/2021 08:01
ALFA ONE DAC  S.A. DE C.V.,	SECRETARIA DE LA FUNCIÓN PÚBLICA,	0040/2017,	NO FORMALIZACIÓN DE CONTRATO,	,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	11/01/2019,	02/01/2019,	1 AÑO,	452848.00,	MARÍA GUADALUPE VARGAS ÁLVAREZ,	14/01/2021 08:01
ALFATEC  S.A DE C.V,	INSTITUTO MEXICANO DEL SEGURO SOCIAL,	0321/2007,	PRESENTO DOCUMENTACION FALSA Y SE CONDUJO CON DOLO AL PARTICIPAR EN PROCESOS DE LICITACION,	COMPRA  VENTA  CONSIGNACION  REPRESENTACION  COMISION  DISTRIBUCION  COMERCIALIZACION  RENTA  IMPORTACION  EXPORTACION  Y FABRICACION DE TODA CLASE DE EQUIPOS MEDICOS  ELECTROMEDICOS.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	22/06/2007,	19/06/2007,	3 AÑOS 3 MESES,	963666.00,	LIC. JORGE PERALTA PORRAS,	14/01/2021 08:01
ALFREDO JAIME CALDERON,	SERVICIO DE ADMINISTRACIÓN Y ENAJENACIÓN DE BIENES,	0001/2017,	EL HABER SUSCRITO CON UN SERVIDOR PÚBLICO DE FNML UN DOCUMENTO DENOMINADO CEDULA DE DETERMINACIÓN DE HONORARIOS  EN EL QUE SE ACORDÓ MODIFICAR SUSTANCIALMENTE LA FORMA DE PAGO DE LOS HONORARIOS DEL PRESTADOR DE SERVICIOS  LO QUE SIGNIFICÓ QUE SE LLEVARON A CABO UN SOBREPAGO QUE ASCIENDE A LA CANTIDAD DE $616 484.94  CUANDO EN TÉRMINOS DE LO PACTADO EN EL CONTRATO DE PRESTACION DE SERVICIOS PROFESIONALES  CORRESPONDÍA UN PAGO POR CONCEPTO DE HONORARIOS DE $174 666.10. SURTIENDO LA HIPÓTESIS PREVISTA EN EL ARTÍCULO 8  FRACCIÓN II  DE LA LEY FEDERAL ANTICORRUPCIÓN EN CONTRATACIONES PÚBLICAS.,	SERVICIOS CONSISTENTES EN LA REALIZACIÓN DE GESTIONES JUDICIALES Y EXTRAJUDICIALES ANTE LAS AUTORIDADES ADMINISTRATIVAS  JUDICIALES Y LABORALES FEDERALES  LOCALES O MUNICIPALES QUE CORRESPONDAN.,	SANCIONATORIA CON MULTA E INHABILITACIÓN,	28/08/2017,	23/08/2017,	5 AÑOS 4 MESES,	1354951.44,	JORGE ENRIQUE CARBAJAL CALDERON,	14/01/2021 08:01
